Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g),Source
"Hummus, commercial",229.0,7.35,17.1,14.9,USDA
"Tomatoes, grape, raw",113.0,0.83,0.63,5.51,USDA
"Beans, snap, green, canned, regular pack, drained solids",86.0,1.04,0.39,4.11,USDA
"Frankfurter, beef, unheated",1310.0,11.7,28.0,2.89,USDA
"Nuts, almonds, dry roasted, with salt added",2590.0,20.4,57.8,16.2,USDA
"Kale, raw",35.0,2.92,1.49,4.42,USDA
"Egg, whole, raw, frozen, pasteurized",150.0,12.3,10.3,0.91,USDA
"Egg, white, raw, frozen, pasteurized",201.0,10.1,0.16,0.74,USDA
"Egg, white, dried",376.0,79.9,0.65,6.02,USDA
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1210.0,4.52,14.4,36.3,USDA
"Pickles, cucumber, dill or kosher dill",12.0,0.48,0.43,1.99,USDA
"Cheese, parmesan, grated",1760.0,29.6,28.0,12.4,USDA
"Cheese, pasteurized process, American, vitamin D fortified",366.0,18.0,30.6,5.27,USDA
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,0.7,7.59,USDA
"Peaches, yellow, raw",174.0,0.91,0.27,10.1,USDA
"Seeds, sunflower seed kernels, dry roasted, with salt added",2560.0,21.0,56.1,17.1,USDA
"Bread, white, commercially prepared",1130.0,9.43,3.59,49.2,USDA
"Kale, frozen, cooked, boiled, drained, without salt",151.0,2.94,1.21,5.3,USDA
"Mustard, prepared, yellow",61.0,4.25,3.38,5.3,USDA
"Kiwifruit, green, raw",241.0,1.06,0.44,14.0,USDA
"Nectarines, raw",39.0,1.06,0.28,9.18,USDA
"Cheese, cheddar",1710.0,23.3,34.0,2.44,USDA
"Cheese, cottage, lowfat, 2% milkfat",352.0,11.0,2.3,4.31,USDA
"Cheese, mozzarella, low moisture, part-skim",298.0,23.7,20.4,4.44,USDA
"Egg, whole, dried",575.0,48.1,39.8,1.87,USDA
"Egg, yolk, raw, frozen, pasteurized",1240.0,15.6,25.1,0.59,USDA
"Egg, yolk, dried",2740.0,34.2,55.5,1.07,USDA
"Yogurt, Greek, plain, nonfat",61.0,10.3,0.37,3.64,USDA
"Yogurt, Greek, strawberry, nonfat",347.0,8.06,0.15,12.2,USDA
"Oil, coconut",833.0,0.0,99.1,0.84,USDA
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,5.95,0.0,USDA
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",695.0,32.1,3.24,0.0,USDA
"Sauce, pasta, spaghetti/marinara, ready-to-serve",186.0,1.41,1.48,8.05,USDA
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,16.7,3.73,0.27,USDA
"Olives, green, Manzanilla, stuffed with pimiento",543.0,1.15,12.9,4.96,USDA
"Cookies, oatmeal, soft, with raisins",1800.0,5.79,14.3,69.6,USDA
"Tomatoes, canned, red, ripe, diced",76.0,0.84,0.5,3.32,USDA
"Fish, haddock, raw",308.0,16.3,0.45,0.0,USDA
"Fish, pollock, raw",235.0,12.3,0.41,0.0,USDA
"Fish, tuna, light, canned in water, drained solids",376.0,19.0,0.94,0.08,USDA
"Restaurant, Chinese, fried rice, without meat",729.0,3.84,3.19,32.5,USDA
"Restaurant, Latino, tamale, pork",174.0,7.38,9.04,15.8,USDA
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,9.01,31.5,USDA
"Bread, whole-wheat, commercially prepared",1060.0,12.3,3.55,43.1,USDA
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",735.0,27.7,6.36,0.0,USDA
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",648.0,22.8,6.39,0.0,USDA
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,2.48,0.0,USDA
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",514.0,23.7,2.41,0.0,USDA
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",606.0,22.7,5.32,0.0,USDA
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,11.4,0.0,USDA
"Carrots, frozen, unprepared",153.0,0.81,0.47,7.92,USDA
"Cheese, dry white, queso seco",326.0,24.5,24.3,2.07,USDA
"Cheese, ricotta, whole milk",157.0,7.81,11.0,6.86,USDA
"Cheese, swiss",1640.0,27.0,31.0,1.44,USDA
"Figs, dried, uncooked",249.0,3.3,0.92,63.9,USDA
"Lettuce, cos or romaine, raw",70.0,1.24,0.26,3.24,USDA
"Melons, cantaloupe, raw",141.0,0.82,0.18,8.16,USDA
"Oranges, raw, navels",196.0,0.91,0.15,11.8,USDA
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,0.95,5.18,USDA
"Pears, raw, bartlett",57.0,0.38,0.16,15.1,USDA
"Restaurant, Chinese, sweet and sour pork",260.0,8.88,13.6,25.5,USDA
"Salt, table, iodized",,,,,USDA
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",144.0,3.43,0.08,4.92,USDA
"Sauce, salsa, ready-to-serve",29.0,1.44,0.19,6.74,USDA
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.36,1.9,4.9,USDA
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",1370.0,13.3,28.7,3.37,USDA
"Sausage, Italian, pork, mild, cooked, pan-fried",1350.0,18.2,26.2,2.15,USDA
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1450.0,19.3,28.1,2.63,USDA
"Milk, whole, 3.25% milkfat, with added vitamin D",251.0,3.27,3.2,4.63,USDA
"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,10.4,0.93,USDA
"Sugars, granulated",385.0,0.0,0.32,99.6,USDA
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",922.0,27.1,11.6,0.0,USDA
"Ham, sliced, restaurant",507.0,19.6,3.68,2.36,USDA
"Cheese, American, restaurant",1570.0,17.5,31.1,6.35,USDA
"Beans, Dry, Medium Red (0% moisture)",,25.5,1.04,,USDA
"Beans, Dry, Red (0% moisture)",,21.3,1.16,,USDA
"Beans, Dry, Flor de Mayo (0% moisture)",,23.3,0.86,,USDA
"Beans, Dry, Brown (0% moisture)",,25.6,1.12,,USDA
"Beans, Dry, Tan (0% moisture)",,26.8,1.14,,USDA
"Beans, Dry, Light Tan (0% moisture)",,24.6,1.28,,USDA
"Beans, Dry, Carioca (0% moisture)",,25.2,1.44,,USDA
"Beans, Dry, Cranberry (0% moisture)",,24.4,1.23,,USDA
"Beans, Dry, Light Red Kidney (0% moisture)",,25.0,1.03,,USDA
"Beans, Dry, Pink (0% moisture)",,23.4,1.2,,USDA
"Beans, Dry, Dark Red Kidney (0% moisture)",,25.9,1.31,,USDA
"Beans, Dry, Navy (0% moisture)",,24.1,1.51,,USDA
"Beans, Dry, Small White (0% moisture)",,24.5,1.32,,USDA
"Beans, Dry, Small Red (0% moisture)",,23.5,1.28,,USDA
"Beans, Dry, Black (0% moisture)",,24.4,1.45,,USDA
"Beans, Dry, Pinto (0% moisture)",,23.7,1.24,,USDA
"Beans, Dry, Great Northern (0% moisture)",,24.7,1.24,,USDA
"Broccoli, raw",31.0,2.57,0.34,6.27,USDA
"Ketchup, restaurant",488.0,1.11,0.55,26.8,USDA
"Eggs, Grade A, Large, egg white",55.0,10.7,0.0,2.36,USDA
"Eggs, Grade A, Large, egg yolk",1400.0,16.2,28.8,1.02,USDA
"Oil, canola",,,,,USDA
"Oil, corn",,,,,USDA
"Oil, soybean",,,,,USDA
"Oil, olive, extra virgin",,,,,USDA
"Eggs, Grade A, Large, egg whole",617.0,12.4,9.96,0.96,USDA
"Pork, cured, bacon, cooked, restaurant",2090.0,40.9,36.5,2.1,USDA
"Butter, stick, unsalted",,,81.5,,USDA
"Flour, wheat, all-purpose, enriched, bleached",366.0,10.9,1.48,77.3,USDA
"Flour, wheat, all-purpose, enriched, unbleached",358.0,13.1,1.48,73.2,USDA
"Flour, wheat, all-purpose, unenriched, unbleached",1510.0,12.0,1.7,74.6,USDA
"Flour, whole wheat, unenriched",1550.0,15.1,2.73,71.2,USDA
"Flour, bread, white, enriched, unbleached",1520.0,14.3,1.65,72.8,USDA
"Flour, rice, white, unenriched",359.0,6.94,1.3,79.8,USDA
"Flour, corn, yellow, fine meal, enriched",1520.0,6.2,1.74,80.8,USDA
"Butter, stick, salted",,,82.2,,USDA
"Onions, red, raw",186.0,0.94,0.1,9.93,USDA
"Onions, yellow, raw",160.0,0.83,0.05,8.61,USDA
"Garlic, raw",597.0,6.62,0.38,28.2,USDA
"Flour, soy, defatted",1530.0,51.1,3.33,32.9,USDA
"Flour, soy, full-fat",1890.0,38.6,20.7,27.9,USDA
"Flour, rice, brown",365.0,7.19,3.85,75.5,USDA
"Flour, rice, glutinous",1500.0,6.69,1.16,80.1,USDA
"Flour, pastry, unenriched, unbleached",1500.0,8.75,1.64,77.2,USDA
"Onions, white, raw",148.0,0.89,0.13,7.68,USDA
"Bananas, overripe, raw",357.0,0.73,0.22,20.1,USDA
"Bananas, ripe and slightly ripe, raw",97.0,0.74,0.29,23.0,USDA
"Apples, red delicious, with skin, raw",,0.188,0.212,14.8,USDA
"Apples, fuji, with skin, raw",,0.148,0.162,15.7,USDA
"Apples, gala, with skin, raw",,0.133,0.15,14.8,USDA
"Apples, granny smith, with skin, raw",,0.266,0.138,14.1,USDA
"Apples, honeycrisp, with skin, raw",,0.102,0.1,14.7,USDA
"Oil, peanut",,,,,USDA
"Oil, sunflower",,,,,USDA
"Oil, safflower",,,,,USDA
"Oil, olive, extra light",,,,,USDA
"Mushroom, lion's mane",,2.5,0.256,7.59,USDA
"Mushroom, oyster",,2.9,0.188,6.94,USDA
"Mushrooms, shiitake",,2.41,0.195,8.17,USDA
"Mushrooms, white button",,2.89,0.371,4.08,USDA
"Soy milk, unsweetened, plain, shelf stable",,3.55,2.12,1.29,USDA
"Almond milk, unsweetened, plain, shelf stable",,0.555,1.22,0.337,USDA
"Spinach, baby",,2.85,0.619,2.41,USDA
"Spinach, mature",,2.91,0.604,2.64,USDA
"Tomato, roma",,0.696,0.425,3.84,USDA
"Flour, 00",,11.4,1.52,74.4,USDA
"Flour, spelt, whole grain",,14.5,2.54,70.7,USDA
