Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g)
"Hummus, commercial",229,7.35,17.1,14.9
"Tomatoes, grape, raw",113,0.83,0.63,5.51
"Beans, snap, green, canned, regular pack, drained solids",86.0,1.04,0.39,4.11
"Frankfurter, beef, unheated",1310.0,11.7,28.0,2.89
"Nuts, almonds, dry roasted, with salt added",2590.0,20.4,57.8,16.2
"Kale, raw",35.0,2.92,1.49,4.42
"Egg, whole, raw, frozen, pasteurized",150,12.3,10.3,0.91
"Egg, white, raw, frozen, pasteurized",201,10.1,0.16,0.74
"Egg, white, dried",376,79.9,0.65,6.02
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1210.0,4.52,14.4,36.3
"Pickles, cucumber, dill or kosher dill",12.0,0.48,0.43,1.99
"Cheese, parmesan, grated",1760.0,29.6,28.0,12.4
"Cheese, pasteurized process, American, vitamin D fortified",366,18.0,30.6,5.27
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,0.7,7.59
"Peaches, yellow, raw",174,0.91,0.27,10.1
"Seeds, sunflower seed kernels, dry roasted, with salt added",2560.0,21.0,56.1,17.1
"Bread, white, commercially prepared",1130.0,9.43,3.59,49.2
"Kale, frozen, cooked, boiled, drained, without salt",151,2.94,1.21,5.3
"Mustard, prepared, yellow",61.0,4.25,3.38,5.3
"Kiwifruit, green, raw",241,1.06,0.44,14.0
"Nectarines, raw",39.0,1.06,0.28,9.18
"Cheese, cheddar",1710.0,23.3,34.0,2.44
"Cheese, cottage, lowfat, 2% milkfat",352,11.0,2.3,4.31
"Cheese, mozzarella, low moisture, part-skim",298,23.7,20.4,4.44
"Egg, whole, dried",575,48.1,39.8,1.87
"Egg, yolk, raw, frozen, pasteurized",1240.0,15.6,25.1,0.59
"Egg, yolk, dried",2740.0,34.2,55.5,1.07
"Yogurt, Greek, plain, nonfat",61.0,10.3,0.37,3.64
"Yogurt, Greek, strawberry, nonfat",347,8.06,0.15,12.2
"Oil, coconut",833,0.0,99.1,0.84
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156,23.9,5.95,0.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",695,32.1,3.24,0.0
"Sauce, pasta, spaghetti/marinara, ready-to-serve",186,1.41,1.48,8.05
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106,16.7,3.73,0.27
"Olives, green, Manzanilla, stuffed with pimiento",543,1.15,12.9,4.96
"Cookies, oatmeal, soft, with raisins",1800.0,5.79,14.3,69.6
"Tomatoes, canned, red, ripe, diced",76.0,0.84,0.5,3.32
"Fish, haddock, raw",308,16.3,0.45,0.0
"Fish, pollock, raw",235,12.3,0.41,0.0
"Fish, tuna, light, canned in water, drained solids",376,19.0,0.94,0.08
"Restaurant, Chinese, fried rice, without meat",729,3.84,3.19,32.5
"Restaurant, Latino, tamale, pork",174,7.38,9.04,15.8
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229,5.59,9.01,31.5
"Bread, whole-wheat, commercially prepared",1060.0,12.3,3.55,43.1
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",735,27.7,6.36,0.0
